Price,Close,High,Low,Open,Volume,RSI,Returns,Perf
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,,,
Date,,,,,,,,
2025-07-01,2012.0999755859375,2016.0,2004.0,2005.0,7194693,,,
2025-07-02,1986.0,2019.9000244140625,1977.9000244140625,2019.9000244140625,9439125,,-1.2971510313913193,
2025-07-03,1987.0999755859375,2008.0,1984.300048828125,1994.9000244140625,8430253,,0.0553864846897012,
2025-07-04,1989.300048828125,2003.5,1980.0,1987.0999755859375,3931972,,0.11071779322722186,
2025-07-07,1987.4000244140625,1998.4000244140625,1983.800048828125,1989.0,5674713,,-0.09551220868776467,
2025-07-08,2001.4000244140625,2005.0,1977.0,1977.0,7612158,,0.7044379504889786,-0.5317802943046623
2025-07-09,2011.199951171875,2013.800048828125,1998.0999755859375,2007.0,6930714,,0.4896535744113306,1.2688797166100274
2025-07-10,2006.199951171875,2017.0,2000.0,2016.0,8515155,,-0.2486078023762217,0.9611985214939001
2025-07-11,1983.699951171875,2004.800048828125,1980.9000244140625,1998.0,6258461,,-1.1215233051350193,-0.28151095957339445
2025-07-14,1983.0,1988.699951171875,1970.5999755859375,1983.0,6544425,,-0.03528513329152938,-0.22139601288169164
2025-07-15,1995.5,2003.5999755859375,1973.0,1973.0,7249084,,0.6303580433686395,-0.2947948607020634
2025-07-16,1996.300048828125,2022.699951171875,1992.5999755859375,2018.0,8997306,,0.04009264986846173,-0.7408463954599931
2025-07-17,1986.9000244140625,2004.800048828125,1982.699951171875,2004.0,11264579,,-0.47087232300477844,-0.9620141176126973
2025-07-18,1957.4000244140625,1997.0,1953.0,1986.9000244140625,8064723,1991.6785714285713,-1.484724930168524,-1.32580165373678
2025-07-21,2000.5,2002.0,1976.5,1978.199951171875,11154539,1990.8500017438616,2.2018992054952724,0.8825012607160954
2025-07-22,2007.0999755859375,2018.0,2003.0,2013.0999755859375,7418407,1992.357142857143,0.32991630022181084,0.5813067194155641
2025-07-23,2024.300048828125,2029.800048828125,2003.0,2011.0,6817458,1995.0142909458705,0.8569614593894936,1.4025947660742055
2025-07-24,2014.199951171875,2037.699951171875,2008.4000244140625,2037.699951171875,9553588,1996.7928553989955,-0.49894271662429546,1.3739959948847025
2025-07-25,2004.5999755859375,2015.0,1999.0,2015.0,4653299,1998.0214233398438,-0.4766148256707181,2.4113594862145815
2025-07-28,2008.5,2021.4000244140625,2000.5,2003.0,6029790,1998.528564453125,0.19455374945429593,0.399900024993749
2025-07-29,2021.5999755859375,2026.5,1996.300048828125,1999.9000244140625,9947848,1999.2714233398438,0.6522268153317246,0.7224353632791392
2025-07-30,2025.800048828125,2032.5999755859375,2017.0,2028.0,7577018,2000.67143031529,0.20775985817720333,0.07409968699394476
2025-07-31,2018.199951171875,2031.4000244140625,2008.0,2014.5999755859375,11091516,2003.1357160295759,-0.37516524203099477,0.1985900157366549
2025-08-01,2012.199951171875,2028.300048828125,2009.300048828125,2014.0,5658629,2005.221426827567,-0.29729462616011615,0.3791267923025865
